seed,method,n_iter,dataset,value
0,random,1,40922,0.8576588779771983
0,random,2,40922,0.9213793881927984
0,random,3,40922,0.949655717349588
0,random,4,40922,0.9787786431877188
0,random,5,40922,0.9769725702675246
0,random,6,40922,0.983180945930692
0,random,7,40922,0.9788350829664748
0,random,8,40922,0.9903487978327123
0,random,9,40922,0.9911389547352976
0,margin,1,40922,0.8639801331978779
0,margin,2,40922,0.906817925273733
0,margin,3,40922,0.9231854611129924
0,margin,4,40922,0.917823682131166
0,margin,5,40922,0.9466644090755164
0,margin,6,40922,0.9669262896489446
0,margin,7,40922,0.954735297437634
0,margin,8,40922,0.9699740377017724
0,margin,9,40922,0.9626368664634836
0,confidence,1,40922,0.8639801331978779
0,confidence,2,40922,0.906817925273733
0,confidence,3,40922,0.9231854611129924
0,confidence,4,40922,0.917823682131166
0,confidence,5,40922,0.9466644090755164
0,confidence,6,40922,0.9669262896489446
0,confidence,7,40922,0.954735297437634
0,confidence,8,40922,0.9699740377017724
0,confidence,9,40922,0.9626368664634836
0,entropy,1,40922,0.8639801331978779
0,entropy,2,40922,0.906817925273733
0,entropy,3,40922,0.9231854611129924
0,entropy,4,40922,0.917823682131166
0,entropy,5,40922,0.9466644090755164
0,entropy,6,40922,0.9669262896489446
0,entropy,7,40922,0.954735297437634
0,entropy,8,40922,0.9699740377017724
0,entropy,9,40922,0.9626368664634836
0,kmeans,1,40922,0.8148210859013433
0,kmeans,2,40922,0.9599277570831922
0,kmeans,3,40922,0.9454227339428828
0,kmeans,4,40922,0.9787222034089628
0,kmeans,5,40922,0.984817699514618
0,kmeans,6,40922,0.9864544530985438
0,kmeans,7,40922,0.9870752906648604
0,kmeans,8,40922,0.9903487978327123
0,kmeans,9,40922,0.9891635624788352
0,wkmeans,1,40922,0.8522406592166158
0,wkmeans,2,40922,0.8445648493057907
0,wkmeans,3,40922,0.8924822214696918
0,wkmeans,4,40922,0.9338525792978892
0,wkmeans,5,40922,0.9478496444293938
0,wkmeans,6,40922,0.9582345637205102
0,wkmeans,7,40922,0.9583474432780223
0,wkmeans,8,40922,0.9661361327463596
0,wkmeans,9,40922,0.973981261993453
0,iwkmeans,1,40922,0.9380855627045942
0,iwkmeans,2,40922,0.8634157354103172
0,iwkmeans,3,40922,0.9775934078338412
0,iwkmeans,4,40922,0.9500507958008804
0,iwkmeans,5,40922,0.976633931594988
0,iwkmeans,6,40922,0.9493170786770516
0,iwkmeans,7,40922,0.951292470933514
0,iwkmeans,8,40922,0.9606050344282652
0,iwkmeans,9,40922,0.9638221018173608
1,random,1,40922,0.9072130037250254
1,random,2,40922,0.9106558302291456
1,random,3,40922,0.973078225533356
1,random,4,40922,0.9619595891184106
1,random,5,40922,0.9632577040298002
1,random,6,40922,0.9827858674793994
1,random,7,40922,0.9910260751777852
1,random,8,40922,0.9855514166384468
1,random,9,40922,0.989840839823908
1,margin,1,40922,0.859860029348685
1,margin,2,40922,0.9271362456259172
1,margin,3,40922,0.937126086465741
1,margin,4,40922,0.93125634947511
1,margin,5,40922,0.9527599051811716
1,margin,6,40922,0.9586296421718028
1,margin,7,40922,0.9687888023478948
1,margin,8,40922,0.9586296421718028
1,margin,9,40922,0.963934981374873
1,confidence,1,40922,0.859860029348685
1,confidence,2,40922,0.9271362456259172
1,confidence,3,40922,0.937126086465741
1,confidence,4,40922,0.93125634947511
1,confidence,5,40922,0.9527599051811716
1,confidence,6,40922,0.9586296421718028
1,confidence,7,40922,0.9687888023478948
1,confidence,8,40922,0.9586296421718028
1,confidence,9,40922,0.963934981374873
1,entropy,1,40922,0.859860029348685
1,entropy,2,40922,0.9271362456259172
1,entropy,3,40922,0.937126086465741
1,entropy,4,40922,0.93125634947511
1,entropy,5,40922,0.9527599051811716
1,entropy,6,40922,0.9586296421718028
1,entropy,7,40922,0.9687888023478948
1,entropy,8,40922,0.9586296421718028
1,entropy,9,40922,0.963934981374873
1,kmeans,1,40922,0.859916469127441
1,kmeans,2,40922,0.9692967603566994
1,kmeans,3,40922,0.9711028332768936
1,kmeans,4,40922,0.9770854498250366
1,kmeans,5,40922,0.9789479625239867
1,kmeans,6,40922,0.9803589569928886
1,kmeans,7,40922,0.9792301614177672
1,kmeans,8,40922,0.9912518342928096
1,kmeans,9,40922,0.9854949768596908
1,wkmeans,1,40922,0.860763065808782
1,wkmeans,2,40922,0.8414042216954509
1,wkmeans,3,40922,0.9423185461112992
1,wkmeans,4,40922,0.9365616886781803
1,wkmeans,5,40922,0.9506151935884412
1,wkmeans,6,40922,0.9560334123490236
1,wkmeans,7,40922,0.9617902697821424
1,wkmeans,8,40922,0.9762952929224518
1,wkmeans,9,40922,0.9676035669940174
1,iwkmeans,1,40922,0.8681566768258269
1,iwkmeans,2,40922,0.88762840049667
1,iwkmeans,3,40922,0.9645558189411898
1,iwkmeans,4,40922,0.97144147194943
1,iwkmeans,5,40922,0.9354893328818152
1,iwkmeans,6,40922,0.9629190653572638
1,iwkmeans,7,40922,0.9660796929676037
1,iwkmeans,8,40922,0.9729653459758436
1,iwkmeans,9,40922,0.9767468111525004
2,random,1,40922,0.8872897618241337
2,random,2,40922,0.9355457726605712
2,random,3,40922,0.9620724686759228
2,random,4,40922,0.9820521503555706
